#,Questions,Reference SPARQL Query,Complexity
11,"""List the lab extracts that have inhibition percentages above 50% at 2µg/mL against Trypanosoma brucei rhodesiense .""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?labExtract
  WHERE {
      ?labExtract ns2:has_bioassay_results ?bioAssayResult .
      ?bioAssayResult ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL612348> .
      {
          ?bioAssayResult a ns2:Tbrucei2ugml .
      }
  }",Medium
12," ""Retrieve the Spec2Vec documents associated with MS2 spectra from the lab extracts of Tabernaemontana coffeoides""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?spec2vecDoc
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysis .
      ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_spec2vec_doc ?spec2vecDoc .
  }",Medium
13," ""Which extracts have features (pos ionization mode) annotated as the class, aspidosperma-type alkaloids, by CANOPUS with a probability score above 0.5, ordered by the decreasing count of features as aspidosperma-type alkaloids? Group by extract.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

SELECT ?labExtract (COUNT(?feature) AS ?featureCount)
WHERE {
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis a ns1:LCMSAnalysisPos .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_canopus_annotation ?annotation .
    ?annotation ns1:has_canopus_npc_class <https://enpkg.commons-lab.org/kg/npc_Aspidosperma_type> .
    ?annotation ns1:has_canopus_npc_class_prob ?probability .
    FILTER(?probability > 0.5)
}
GROUP BY ?labExtract
ORDER BY DESC(?featureCount)",High
14," ""Which ISDB annotations have consistency scores above 0.7 and taxonomic scores above 0.5 for LCMS features from Tabernaemontana coffeoides? Provide annotations.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?Annotation
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_isdb_annotation ?Annotation .
      ?Annotation ns1:has_consistency_score ?consistencyScore .
      ?Annotation ns1:has_taxo_score ?taxoScore .
      FILTER(?consistencyScore > 0.7 && ?taxoScore > 0.5)
  }",Medium
15,"""What are the taxons, lab process and label (if one exists) for each sample? Sort by sample and then lab process""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  SELECT ?sample ?taxon ?labProcess ?label
  WHERE {
      ?sample ns1:has_wd_id ?taxon .
      ?sample ns1:has_lab_process ?labProcess .
      OPTIONAL { ?sample rdfs:label ?label . }
  }
  ORDER BY ?sample ?labProcess",Low
16,"""What are the mass spectrometry features detected only in the plant Rumex nepalensis?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>
  PREFIX wd: <http://www.wikidata.org/entity/>

  SELECT ?feature
  WHERE {
      ?rawMaterial ns1:has_wd_id wd:Q11041204 .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
  }",Low
17," ""How many distinct Wikidata identifiers (WD IDs) have the same metabolite annotation (considering only the plannar structure)?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT (COUNT(DISTINCT ?wd_id) AS ?distinct_wd_ids)
  WHERE {
      ?annotation ns1:has_InChIkey2D ?InChIkey2D .
      ?InChIkey2D ns1:is_InChIkey2D_of ?InChIkey .
      ?InChIkey ns1:has_wd_id ?wd_id .
  }",Medium
18," ""List the LC-MS features that have a chemical class annotation by CANOPUS and have a retention time between 5-7 minutes."" ""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?feature
  WHERE {
      ?feature ns1:has_canopus_annotation ?annotation  .
      ?feature ns1:has_retention_time ?retention_time .
      ?annotation ns1:has_canopus_npc_class ?chemicalClass  .
  FILTER(?retentionTime >= 5 && ?retentionTime <= 7) }",Medium
19," ""Retrieve the lab extracts that have more than 2,000 features detected.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?labExtract
  WHERE {
    ?labExtract ns1:has_LCMS ?analysis.
  ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      {
          SELECT ?labExtract (COUNT(?feature) AS ?featureCount)
          WHERE {
    ?labExtract ns1:has_LCMS ?analysis. 
          ?analysis ns1:has_lcms_feature_list ?featureList .
              ?featureList ns1:has_lcms_feature ?feature .
          }
          GROUP BY ?labExtract
          HAVING (?featureCount > 2000)
      }
  }",Low
20,"""What is the distribution of chemical superclasses in the LCMS features annotated by CANOPUS identified from Desmodium heterophyllum extracts?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wd: <http://www.wikidata.org/entity/>

SELECT ?superclass (COUNT(?superclass) AS ?count)
WHERE {
    ?rawMaterial ns1:has_wd_id wd:Q10770714 .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_canopus_annotation ?annotation .
    ?annotation ns1:has_canopus_npc_superclass ?superclass .
}
GROUP BY ?superclass",Medium
21," ""Retrieve the top-10 lab extracts with the most unique features detected (minimum feature area intensity of 500,000.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
SELECT ?labExtract (COUNT(DISTINCT ?feature) AS ?uniqueFeatures)
WHERE {
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_feature_area ?featureArea .
    FILTER(?featureArea >= 500000)
}
GROUP BY ?labExtract
ORDER BY DESC(?uniqueFeatures)
LIMIT 10",Low
22,"""List the top 3 lab extracts with the highest number of unique compounds annotated by CANOPUS with a probability greater than 0.9.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

SELECT ?labExtract (COUNT(DISTINCT ?compound) AS ?uniqueCompounds)
WHERE {
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?featureList .
    ?featureList ns1:has_lcms_feature ?feature .
    ?feature ns1:has_canopus_annotation ?annotation .
    ?annotation ns1:has_canopus_npc_class ?compound .
    ?annotation ns1:has_canopus_npc_class_prob ?probability .
    FILTER(?probability > 0.9)
}
GROUP BY ?labExtract
ORDER BY DESC(?uniqueCompounds)
LIMIT 3",High
23," ""What are the LCMS features with the highest area annotated as alkaloids by CANOPUS in Tabernaemontana coffeoides extracts?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?feature ?featureArea
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_feature_area ?featureArea .
      ?feature ns1:has_canopus_annotation ?annotation .
      ?annotation ns1:has_canopus_npc_class <https://enpkg.commons-lab.org/kg/npc_Steroidal_alkaloids> .
  }
  ORDER BY DESC(?featureArea)
  LIMIT 1",Low
24," ""Count the number of LCMS features in negative ionization mode""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT (COUNT(?feature) AS ?featureCount)
  WHERE {
      ?analysis a ns1:LCMSAnalysisNeg .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
  }",Low
25,"""What are the chemical structure ISDB annotations for Lovoa trichilioides ?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?Annotation
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q8008828> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_isdb_annotation ?Annotation .
  }",Medium
26," ""Retrieve the Wikidata IDs of chemical entities from Desmodium heterophyllum that are annotated as rotenoids by CANOPUS and have ChEMBL assay results showing activity against Trypanosoma cruzi. Provide also the USIs to the corresponding MS/MS spectra.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?wd_id ?usi
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q10770714> ;
                 ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_canopus_annotation ?annotation ;
             ns1:has_usi ?usi .
    ?annotation ns1:has_canopus_npc_class <https://enpkg.commons-lab.org/kg/npc_Rotenoids> .
 ?labExtract ns2:has_bioassay_results ?assayResult .
  ?assayResult ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL368> .
 ?chemicalEntity ns1:has_wd_id ?wd_id .
  ?feature ns1:has_sirius_annotation ?siriusAnnotation .
    ?siriusAnnotation ns1:has_InChIkey2D ?InChIkey2D .
    ?InChIkey2D ns1:is_InChIkey2D_of ?chemicalEntity .
  }",High
27," ""Retrieve the retention times and parent masses of LCMS features annotated as Terpenoids by CANOPUS in Tabernaemontana coffeoides.""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?retentionTime ?parentMass
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_canopus_annotation ?annotation .
      ?annotation ns1:has_canopus_npc_pathway <https://enpkg.commons-lab.org/kg/npc_Terpenoids> .
      ?feature ns1:has_retention_time ?retentionTime .
      ?feature ns1:has_parent_mass ?parentMass .
  }",Medium
28,"""Which compounds from Desmodium heterophyllum extracts have annotations from both ISDB and SIRIUS, and what are their molecular masses?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>
PREFIX wd: <http://www.wikidata.org/entity/>

SELECT ?compound ?mass
WHERE {
    ?rawMaterial ns1:has_wd_id wd:Q10770714 .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_isdb_annotation ?isdbAnnotation .
    ?feature ns1:has_sirius_annotation ?siriusAnnotation .
    ?feature ns1:has_parent_mass ?mass .
    ?isdbAnnotation ns1:has_InChIkey2D ?compound .
    ?siriusAnnotation ns1:has_InChIkey2D ?compound .
}",High
29," ""What are the most frequent adducts of LCMS features annotated by SIRIUS detected in positive ionization mode from Tabernaemontana coffeoides?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?adduct (COUNT(?adduct) AS ?frequency)
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysis .
      ?lcmsAnalysis a ns1:LCMSAnalysisPos .
      ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?annotation .
      ?annotation ns1:has_adduct ?adduct .
  }
  GROUP BY ?adduct
  ORDER BY DESC(?frequency)",Medium
30," ""What are the Wikidata IDs of chemical entities that have ChEMBL activity against Trypanosoma cruzi target?""

","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?wd_id
  WHERE {
      ?chemicalEntity ns2:has_chembl_id ?chemblChemical .
      ?chemblChemical ns2:has_chembl_activity ?assayResults .
      ?assayResults ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL368> .
      ?chemicalEntity ns1:has_wd_id ?wd_id .
  }",Medium
31," ""How many features (pos ionization and neg ionization modes) have the same SIRIUS/CSI:FingerID and ISDB annotation by comparing the InCHIKey2D of the annotations?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT (COUNT(?feature) AS ?featureCount)
  WHERE {
      ?labExtract ns1:has_LCMS ?analysis .
      ?analysis ns1:has_lcms_feature_list ?feature_list .
      ?feature_list ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?siriusAnnotation .
      ?feature ns1:has_isdb_annotation ?isdbAnnotation .
      ?siriusAnnotation ns1:has_InChIkey2D ?InChIkey2D .
      ?isdbAnnotation ns1:has_InChIkey2D ?InChIkey2D .
  }",Medium
32,"""How many features annotated as 'Tetraketide meroterpenoids' by CANOPUS are found for each submitted taxon and extract in database?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>

  SELECT ?submittedTaxon ?extract (COUNT(?feature) AS ?featureCount)
  WHERE {
      ?feature ns1:has_canopus_annotation ?annotation .
      ?annotation ns1:has_canopus_npc_class <https://enpkg.commons-lab.org/kg/npc_Tetraketide_meroterpenoids> .
      ?featureList ns1:has_lcms_feature ?feature .
      ?analysis ns1:has_lcms_feature_list ?featureList .
      ?extract ns1:has_LCMS ?analysis .
      ?rawMaterial ns1:has_lab_process ?extract .
      ?rawMaterial ns1:submitted_taxon ?submittedTaxon .
  }
  GROUP BY ?submittedTaxon ?extract",Medium
33," ""What are the retention times, parent masses, and associated Spec2Vec peaks for features in the LC-MS analysis of the plant Rumex nepalensis in positive ion mode?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?retention_time ?parent_mass ?spec2vec_peak
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q11041204> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysis .
      ?lcmsAnalysis a ns1:LCMSAnalysisPos .
      ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_retention_time ?retention_time .
      ?feature ns1:has_parent_mass ?parent_mass .
      ?feature ns1:has_spec2vec_doc ?spec2vecDoc .
      ?spec2vecDoc ns1:has_spec2vec_peak ?spec2vec_peak .
  }",Medium
34, “What are the most frequent SIRIUS chemical structure annotations (planar structure) observed from the extracts belonging to Hibiscus syriacus?”,"PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
PREFIX ns2: <https://enpkg.commons-lab.org/module/>

SELECT ?InChIkey2D (COUNT(?InChIkey2D) AS ?frequency)
WHERE {
    ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q157756> .
    ?rawMaterial ns1:has_lab_process ?labExtract .
    ?labExtract ns1:has_LCMS ?analysis .
    ?analysis ns1:has_lcms_feature_list ?feature_list .
    ?feature_list ns1:has_lcms_feature ?feature .
    ?feature ns1:has_sirius_annotation ?annotation .
    ?annotation ns1:has_InChIkey2D ?InChIkey2D .
}
GROUP BY ?InChIkey2D
ORDER BY DESC(?frequency)",Medium
35,"""Which molecules (represented by their InChIkey) have reported ChEMBL activity with activity type IC50 and activity values below 500 nM against Leishmania donovani target?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?InChIkey
  WHERE {
      ?chemicalEntity ns2:has_chembl_id ?chemblChemical .
      ?chemblChemical ns2:has_chembl_activity ?assayResults .
      ?assayResults ns2:target_id <https://www.ebi.ac.uk/chembl/target_report_card/CHEMBL367> ;
                     ns2:activity_type ""IC50"" ;
                     ns2:activity_value ?activityValue .
      FILTER(?activityValue < 500)
      ?chemicalEntity ns1:has_wd_id ?wd_id .
 ?InChIkey ns1:has_wd_id ?wd_id .
  }",High
36," ""What are the SIRIUS structural annotations associated with the MS2 spectra from the lab extracts of Tabernaemontana coffeoides ?""","PREFIX ns1: <https://enpkg.commons-lab.org/kg/>
  PREFIX ns2: <https://enpkg.commons-lab.org/module/>

  SELECT ?siriusAnnotation
  WHERE {
      ?rawMaterial ns1:has_wd_id <http://www.wikidata.org/entity/Q15376858> .
      ?rawMaterial ns1:has_lab_process ?labExtract .
      ?labExtract ns1:has_LCMS ?lcmsAnalysis .
      ?lcmsAnalysis ns1:has_lcms_feature_list ?featureList .
      ?featureList ns1:has_lcms_feature ?feature .
      ?feature ns1:has_sirius_annotation ?siriusAnnotation .
      ?siriusAnnotation a ns1:SiriusStructureAnnotation .
  }",Low
